file name HJD fitMean fitMeanErr fitDepth fitDepthErr fitWidth fitWidthErr fitCont fitContErr fitResidual fitEQW fitIntegral fitIntegralErr centroid EQW halfmax FWHM LHM RHM EMAX FWEM LEM REM skewness skewErr kurtosis kurtErr
d10006 RUPsc 2459128.68006565 3898.513276 0.712241 -0.228710 0.339278 0.151891 0.028680 0.970483 0.010144 0.023795 0.080311 0.089726 0.134177 3898.491490 0.066034 0.878353 0.405979 0.486277 0.513723 0.975671 0.527244 0.587320 0.412680 -0.157266 0.015908 -0.894414 0.013754
d10007 RUPsc 2459128.69413156 3897.681938 0.021853 2.745180 0.171524 0.024316 0.001242 0.929028 0.017911 0.090198 -0.052238 -0.180103 -0.014535 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d10008 RUPsc 2459128.70660055 3898.440168 1.424050 -0.326689 0.976182 0.129947 0.018631 0.989076 0.009650 0.023593 0.097681 0.107587 0.321853 3898.432196 0.071792 0.849246 0.355259 0.485144 0.514856 0.969849 0.441486 0.585701 0.414299 -0.038654 0.007381 -0.856505 0.017464
d10009 RUPsc 2459128.71934178 3898.032462 nan -58.247437 nan 5.188342 nan 58.884537 nan 16.869787 -0.006563 12.864534 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
d10011 RUPsc 2459128.74350673 3897.686625 0.237025 -0.215415 0.180600 0.142766 0.097912 1.018105 0.048180 0.132368 0.069639 0.075718 0.082015 3897.637024 0.023697 0.885291 0.303740 0.295740 0.704260 0.977058 0.494618 0.462172 0.537828 -0.173713 0.008464 -0.323688 0.017197
d10012 RUPsc 2459128.75597332 3898.521275 3.912920 -0.376640 3.086145 0.128141 0.017837 0.985281 0.010623 0.020685 0.098373 0.122785 1.006231 3898.482389 0.073439 0.802404 0.299355 0.497117 0.502883 0.960481 0.371634 0.559990 0.440010 -0.012026 0.013876 -0.815773 0.018525
d10013 RUPsc 2459128.76848841 3896.994757 nan 16.366901 nan 8.537164 nan -15.329478 nan 0.032308 -0.014722 22.847708 nan 3898.541984 0.089583 0.820509 0.316268 0.583877 0.416123 0.964102 0.384829 0.648542 0.351458 nan nan nan nan
d10014 RUPsc 2459128.78110323 3897.059856 nan 14.034126 nan 7.736274 nan -12.999005 nan 0.039071 -0.017251 20.936161 nan 3898.535267 0.095236 0.797899 0.280244 0.493410 0.506590 0.959580 0.357698 0.603105 0.396895 nan nan nan nan
d10016 RUPsc 2459128.79886356 3898.643994 1.802712 -0.392829 1.457971 0.158195 0.030123 0.976937 0.015119 0.027095 0.105551 0.159449 0.592567 3898.562574 0.085518 0.803054 0.316228 0.498577 0.501423 0.960611 0.439311 0.599558 0.400442 -0.253328 0.011390 -0.720876 0.027753
d10017 RUPsc 2459128.81127182 3898.516718 2.640318 -0.268700 1.502451 0.139190 0.107461 1.051709 0.041859 0.131481 0.116239 0.089139 0.503158 3898.711689 0.056909 0.873876 0.349936 0.923405 0.076595 0.974775 0.405544 0.933908 0.066092 -0.517379 0.008834 -0.049726 0.031074
d10018 RUPsc 2459128.82372869 3898.722382 445.476492 -0.430733 403.117741 0.108445 0.027358 0.975606 0.017647 0.055592 0.106819 0.120015 112.320051 3898.614078 0.082058 0.794343 0.282267 0.448257 0.551743 0.958869 0.344573 0.548023 0.451977 -0.143466 0.014534 -0.796375 0.021165
d10019 RUPsc 2459128.83609312 3898.636893 3.069957 -0.370771 2.387539 0.125312 0.021704 0.994882 0.014947 0.042446 0.108408 0.117062 0.754080 3898.656110 0.079414 0.789271 0.292689 0.504485 0.495515 0.957854 0.417836 0.652898 0.347102 -0.273672 0.015371 -0.558574 0.031317
d10021 RUPsc 2459128.85327511 3898.676671 1.242894 -0.326119 0.836048 0.155876 0.032677 0.993181 0.015540 0.047214 0.102632 0.128298 0.330004 3898.683225 0.074878 0.797945 0.301858 0.511390 0.488610 0.959589 0.417936 0.647098 0.352902 -0.285996 0.014281 -0.632851 0.016972
d10022 RUPsc 2459128.86571486 3897.115087 0.334517 0.206014 0.134498 0.345198 0.334197 0.869267 0.029570 0.072408 0.305626 -0.205069 -0.239458 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
