Spec       Vlos   Elem   Rest_lam app  linecen   lowbound  highbound
d10006  -152.461  26.0  3899.707  54  3897.724  3896.724  3898.724
d10007  -156.877  26.0  3899.707  54  3897.667  3896.667  3898.667
d10008  -158.951  26.0  3899.707  54  3897.639  3896.639  3898.639
d10009  -159.293  26.0  3899.707  54  3897.635  3896.635  3898.635
d10011  -158.495  26.0  3899.707  54  3897.645  3896.645  3898.645
d10012  -157.286  26.0  3899.707  54  3897.661  3896.661  3898.661
d10013  -155.579  26.0  3899.707  54  3897.683  3896.683  3898.683
d10014  -153.762  26.0  3899.707  54  3897.707  3896.707  3898.707
d10016  -151.306  26.0  3899.707  54  3897.739  3896.739  3898.739
d10017  -149.237  26.0  3899.707  54  3897.766  3896.766  3898.766
d10018  -147.109  26.0  3899.707  54  3897.793  3896.793  3898.793
d10019  -145.733  26.0  3899.707  54  3897.811  3896.811  3898.811
d10021  -143.520  26.0  3899.707  54  3897.840  3896.840  3898.840
d10022  -142.055  26.0  3899.707  54  3897.859  3896.859  3898.859
d10023  -140.392  26.0  3899.707  54  3897.881  3896.881  3898.881
d10024  -139.068  26.0  3899.707  54  3897.898  3896.898  3898.898
d10026  -137.285  26.0  3899.707  54  3897.921  3896.921  3898.921
d10027  -137.382  26.0  3899.707  54  3897.920  3896.920  3898.920
d10028  -134.076  26.0  3899.707  54  3897.963  3896.963  3898.963
d10029  -133.674  26.0  3899.707  54  3897.968  3896.968  3898.968
d20011  -141.894  26.0  3899.707  54  3897.861  3896.861  3898.861
d20012  -140.718  26.0  3899.707  54  3897.876  3896.876  3898.876
d20013  -138.944  26.0  3899.707  54  3897.900  3896.900  3898.900
d20014  -137.557  26.0  3899.707  54  3897.918  3896.918  3898.918
d20016  -135.433  26.0  3899.707  54  3897.945  3896.945  3898.945
d20017  -134.168  26.0  3899.707  54  3897.962  3896.962  3898.962
d20018  -133.089  26.0  3899.707  54  3897.976  3896.976  3898.976
d20019  -132.285  26.0  3899.707  54  3897.986  3896.986  3898.986
d20021  -131.189  26.0  3899.707  54  3898.000  3897.000  3899.000
d20024  -132.542  26.0  3899.707  54  3897.983  3896.983  3898.983
d20026  -135.071  26.0  3899.707  54  3897.950  3896.950  3898.950
d20027  -139.049  26.0  3899.707  54  3897.898  3896.898  3898.898
d20028  -144.439  26.0  3899.707  54  3897.828  3896.828  3898.828
d20029  -149.635  26.0  3899.707  54  3897.760  3896.760  3898.760
d20031  -154.885  26.0  3899.707  54  3897.692  3896.692  3898.692
d20032  -156.092  26.0  3899.707  54  3897.677  3896.677  3898.677
d20033  -156.599  26.0  3899.707  54  3897.670  3896.670  3898.670
d20034  -156.429  26.0  3899.707  54  3897.672  3896.672  3898.672
d20036  -155.934  26.0  3899.707  54  3897.679  3896.679  3898.679
d20037  -154.837  26.0  3899.707  54  3897.693  3896.693  3898.693
d20038  -153.512  26.0  3899.707  54  3897.710  3896.710  3898.710
d20039  -151.965  26.0  3899.707  54  3897.730  3896.730  3898.730
d20040  -150.387  26.0  3899.707  54  3897.751  3896.751  3898.751
d30009  -153.269  26.0  3899.707  54  3897.713  3896.713  3898.713
d30010  -156.370  26.0  3899.707  54  3897.673  3896.673  3898.673
d30011  -157.290  26.0  3899.707  54  3897.661  3896.661  3898.661
d30012  -157.343  26.0  3899.707  54  3897.660  3896.660  3898.660
d30014  -156.857  26.0  3899.707  54  3897.667  3896.667  3898.667
d30015  -155.282  26.0  3899.707  54  3897.687  3896.687  3898.687
d30016  -153.756  26.0  3899.707  54  3897.707  3896.707  3898.707
d30017  -151.970  26.0  3899.707  54  3897.730  3896.730  3898.730
d30019  -149.222  26.0  3899.707  54  3897.766  3896.766  3898.766
d30020  -147.589  26.0  3899.707  54  3897.787  3896.787  3898.787
